Start_Year,count,Genre,Total,Top_Anime
1961.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1962.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1963.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1964.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1965.0,1,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1966.0,2,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1967.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1968.0,1,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1969.0,1,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1970.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1971.0,4,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1972.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1973.0,3,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1974.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1975.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1976.0,1,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1977.0,1,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
